"HMM Profile";"Profile Length";"locus_tag";"Gene Length";"E Value";"Profile Start";"Profile End";"Gene Start";"Gene End";"Coverage";"HMM_Profile_simple";"HK"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_03090";310;5,6e-34;1;167;3;164;0,976470588;"GT2";"PROKKA_03090_1_GT2"
"GH103.hmm";295;"PROKKA_03341";341;2e-113;1;294;31;339;0,993220339;"GH103";"PROKKA_03341_1_GH103"
"PL6.hmm";372;"PROKKA_03377";1097;1,4e-92;6;368;288;672;0,97311828;"PL6";"PROKKA_03377_1_PL6"
"GT2_Glyco_tranf_2_3.hmm";230;"PROKKA_03414";494;9,5e-31;1;228;51;279;0,986956522;"GT2";"PROKKA_03414_1_GT2"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_03479";371;6,4e-23;1;166;45;212;0,970588235;"GT2";"PROKKA_03479_1_GT2"
"GH33.hmm";342;"PROKKA_03525";366;7,7e-86;11;337;36;356;0,953216374;"GH33";"PROKKA_03525_1_GH33"
"CBM32.hmm";124;"PROKKA_03625";503;9,7e-21;14;122;102;219;0,870967742;"CBM32";"PROKKA_03625_1_CBM32"
"PL18.hmm";188;"PROKKA_03625";503;3,8e-59;5;182;292;481;0,941489362;"PL18";"PROKKA_03625_1_PL18"
"PL29.hmm";301;"PROKKA_03633";507;1,7e-85;1;301;68;366;0,996677741;"PL29";"PROKKA_03633_1_PL29"
"CBM16.hmm";116;"PROKKA_03647";386;7,3e-22;3;110;24;122;0,922413793;"CBM16";"PROKKA_03647_1_CBM16"
"PL18.hmm";188;"PROKKA_03647";386;3,9e-77;2;188;184;370;0,989361702;"PL18";"PROKKA_03647_1_PL18"
"PL6.hmm";372;"PROKKA_03666";756;4,4e-147;2;370;31;401;0,989247312;"PL6";"PROKKA_03666_1_PL6"
"GT19.hmm";354;"PROKKA_03672";388;8,5e-128;2;352;16;369;0,988700565;"GT19";"PROKKA_03672_1_GT19"
"PL17.hmm";139;"PROKKA_03831";742;7e-53;1;138;400;535;0,985611511;"PL17";"PROKKA_03831_1_PL17"
"PL6.hmm";372;"PROKKA_03833";768;1,4e-128;2;371;25;409;0,991935484;"PL6";"PROKKA_03833_1_PL6"
"PL6.hmm";372;"PROKKA_03835";794;3e-134;2;369;24;392;0,98655914;"PL6";"PROKKA_03835_1_PL6"
"PL7_5.hmm";267;"PROKKA_03841";404;5,7e-104;1;267;134;397;0,996254682;"PL7";"PROKKA_03841_1_PL7"
"CBM6.hmm";138;"PROKKA_03922";424;3,6e-29;18;137;55;171;0,862318841;"CBM6";"PROKKA_03922_1_CBM6"
"CBM6.hmm";138;"PROKKA_03932";596;5,1e-26;16;137;51;169;0,876811594;"CBM6";"PROKKA_03932_1_CBM6"
"CBM47.hmm";128;"PROKKA_03932";596;9,5e-30;2;128;188;310;0,984375;"CBM47";"PROKKA_03932_1_CBM47"
"PL7_3.hmm";214;"PROKKA_03932";596;4e-46;1;214;353;589;0,995327103;"PL7";"PROKKA_03932_1_PL7"
"GT30.hmm";177;"PROKKA_03992";357;8,1e-42;11;176;55;216;0,93220339;"GT30";"PROKKA_03992_1_GT30"
"CE1.hmm";227;"PROKKA_03998";278;4,6e-26;17;209;73;259;0,845814978;"CE1";"PROKKA_03998_1_CE1"
"GH30_3.hmm";417;"PROKKA_04128";475;4,6e-178;3;417;66;474;0,992805755;"GH30";"PROKKA_04128_1_GH30"
"GH30_1.hmm";416;"PROKKA_04129";494;1,5e-177;3;415;77;491;0,990384615;"GH30";"PROKKA_04129_1_GH30"
"GT4.hmm";160;"PROKKA_04137";368;3e-16;2;157;184;341;0,96875;"GT4";"PROKKA_04137_1_GT4"
"GT28.hmm";157;"PROKKA_04165";365;8,4e-46;1;156;194;349;0,987261146;"GT28";"PROKKA_04165_1_GT28"
"GT2_Glyco_tranf_2_3.hmm";230;"PROKKA_04190";478;6,2e-26;2;227;36;262;0,97826087;"GT2";"PROKKA_04190_1_GT2"
"GH73.hmm";128;"PROKKA_04193";277;8,5e-37;2;128;74;203;0,984375;"GH73";"PROKKA_04193_1_GH73"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_04241";235;9e-33;1;145;8;148;0,847058824;"GT2";"PROKKA_04241_1_GT2"
"GH5_39.hmm";293;"PROKKA_04382";342;5,4e-52;11;293;53;323;0,962457338;"GH5";"PROKKA_04382_1_GH5"
"GT2_Glyco_trans_2_3.hmm";197;"PROKKA_04384";615;1,3e-22;2;191;331;523;0,959390863;"GT2";"PROKKA_04384_1_GT2"
"GH109.hmm";126;"PROKKA_04562";398;2,2e-19;1;123;38;151;0,968253968;"GH109";"PROKKA_04562_1_GH109"
"GH109.hmm";126;"PROKKA_04564";444;1,7e-19;2;119;42;155;0,928571429;"GH109";"PROKKA_04564_1_GH109"
"CE14.hmm";124;"PROKKA_04583";819;2,6e-17;1;115;38;151;0,919354839;"CE14";"PROKKA_04583_1_CE14"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_04667";281;5,4e-21;2;140;5;144;0,811764706;"GT2";"PROKKA_04667_1_GT2"
"GH13_31.hmm";349;"PROKKA_04707";552;8,1e-156;1;349;30;377;0,99713467;"GH13";"PROKKA_04707_1_GH13"
"PL7_5.hmm";267;"PROKKA_04712";419;3,9e-104;1;267;149;412;0,996254682;"PL7";"PROKKA_04712_1_PL7"
"CE14.hmm";124;"PROKKA_04737";298;1,9e-22;2;124;28;137;0,983870968;"CE14";"PROKKA_04737_1_CE14"
"GT28.hmm";157;"PROKKA_04835";365;2,8e-46;1;157;193;349;0,993630573;"GT28";"PROKKA_04835_1_GT28"
"GH73.hmm";128;"PROKKA_04924";390;1,5e-33;4;125;247;382;0,9453125;"GH73";"PROKKA_04924_1_GH73"
"GT19.hmm";354;"PROKKA_05006";387;1,7e-131;2;353;15;369;0,991525424;"GT19";"PROKKA_05006_1_GT19"
"GH13.hmm";299;"PROKKA_05148";962;2,1e-36;14;292;405;727;0,929765886;"GH13";"PROKKA_05148_1_GH13"
"AA12.hmm";401;"PROKKA_05172";467;2,3e-19;14;399;37;425;0,960099751;"AA12";"PROKKA_05172_1_AA12"
"GT28.hmm";157;"PROKKA_05179";362;6e-46;1;157;193;349;0,993630573;"GT28";"PROKKA_05179_1_GT28"
"GT26.hmm";171;"PROKKA_05306";429;4,6e-55;2;168;235;401;0,970760234;"GT26";"PROKKA_05306_1_GT26"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_05310";337;8,6e-37;1;169;10;170;0,988235294;"GT2";"PROKKA_05310_1_GT2"
"GH13_18.hmm";343;"PROKKA_05330";582;4e-139;2;343;94;434;0,994169096;"GH13";"PROKKA_05330_1_GH13"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_05481";352;8,3e-20;14;166;6;166;0,894117647;"GT2";"PROKKA_05481_1_GT2"
"PL6.hmm";372;"PROKKA_05534";792;1,7e-132;2;370;24;394;0,989247312;"PL6";"PROKKA_05534_1_PL6"
"PL7.hmm";231;"PROKKA_05545";383;1,1e-33;4;231;140;381;0,982683983;"PL7";"PROKKA_05545_1_PL7"
"GT51.hmm";177;"PROKKA_05559";783;3,4e-46;15;176;62;223;0,90960452;"GT51";"PROKKA_05559_1_GT51"
"PL6.hmm";372;"PROKKA_05578";1594;2,6e-81;2;369;23;424;0,98655914;"PL6";"PROKKA_05578_1_PL6"
"PL7_5.hmm";267;"PROKKA_05578";1594;4e-84;1;266;1222;1496;0,992509363;"PL7";"PROKKA_05578_1_PL7"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_05680";324;5,6e-27;4;168;1;162;0,964705882;"GT2";"PROKKA_05680_1_GT2"
"GH3.hmm";216;"PROKKA_05758";974;4,8e-58;8;215;107;329;0,958333333;"GH3";"PROKKA_05758_1_GH3"
"PL6.hmm";372;"PROKKA_05911";792;6,4e-134;2;370;24;394;0,989247312;"PL6";"PROKKA_05911_1_PL6"
"PL17.hmm";139;"PROKKA_05921";751;7,3e-52;1;137;405;543;0,978417266;"PL17";"PROKKA_05921_1_PL17"
"PL6.hmm";372;"PROKKA_05923";781;7,9e-134;3;371;32;419;0,989247312;"PL6";"PROKKA_05923_1_PL6"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_05928";400;1,1e-22;2;166;141;307;0,964705882;"GT2";"PROKKA_05928_1_GT2"
"GH5_42.hmm";254;"PROKKA_05932";507;6,2e-124;1;254;216;469;0,996062992;"GH5";"PROKKA_05932_1_GH5"
"GH13_11.hmm";351;"PROKKA_06167";687;1,7e-137;1;350;166;513;0,994301994;"GH13";"PROKKA_06167_1_GH13"
"GH13_9.hmm";301;"PROKKA_06168";722;3e-159;2;301;271;570;0,993355482;"GH13";"PROKKA_06168_1_GH13"
"GH77.hmm";494;"PROKKA_06169";731;3,8e-143;1;490;185;720;0,989878543;"GH77";"PROKKA_06169_1_GH77"
"CE14.hmm";124;"PROKKA_06318";237;4e-23;1;124;6;111;0,991935484;"CE14";"PROKKA_06318_1_CE14"
"CE1.hmm";227;"PROKKA_06475";259;1,3e-22;5;209;34;238;0,898678414;"CE1";"PROKKA_06475_1_CE1"
"GH92.hmm";491;"PROKKA_06482";782;2,3e-185;2;491;248;757;0,99592668;"GH92";"PROKKA_06482_1_GH92"
"CE11.hmm";271;"PROKKA_06544";464;7,6e-75;1;222;5;227;0,815498155;"CE11";"PROKKA_06544_1_CE11"
"GT4.hmm";160;"PROKKA_06588";379;1,6e-38;6;153;196;340;0,91875;"GT4";"PROKKA_06588_1_GT4"
"GH3.hmm";216;"PROKKA_06717";973;8,1e-58;4;215;100;326;0,976851852;"GH3";"PROKKA_06717_1_GH3"
"GT4.hmm";160;"PROKKA_06729";403;2e-17;7;154;213;367;0,91875;"GT4";"PROKKA_06729_1_GT4"
"GH13_31.hmm";349;"PROKKA_06776";558;6,1e-142;1;349;34;378;0,99713467;"GH13";"PROKKA_06776_1_GH13"
"GH37.hmm";491;"PROKKA_06779";619;5,1e-127;19;489;86;597;0,957230143;"GH37";"PROKKA_06779_1_GH37"
"GH13.hmm";299;"PROKKA_06780";476;2,5e-50;11;290;53;356;0,933110368;"GH13";"PROKKA_06780_1_GH13"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_06811";242;7,5e-29;2;168;6;172;0,976470588;"GT2";"PROKKA_06811_1_GT2"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_06959";242;1,6e-28;2;167;6;172;0,970588235;"GT2";"PROKKA_06959_1_GT2"
"PL7_5.hmm";267;"PROKKA_07058";358;1,7e-101;1;266;38;348;0,992509363;"PL7";"PROKKA_07058_1_PL7"
"PL6.hmm";372;"PROKKA_07069";749;2,4e-137;3;371;31;401;0,989247312;"PL6";"PROKKA_07069_1_PL6"
"GT19.hmm";354;"PROKKA_07282";388;3,9e-132;2;353;15;369;0,991525424;"GT19";"PROKKA_07282_1_GT19"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_07308";619;5,9e-19;21;169;9;170;0,870588235;"GT2";"PROKKA_07308_1_GT2"
"GT4.hmm";160;"PROKKA_07398";387;3,3e-34;5;153;207;354;0,925;"GT4";"PROKKA_07398_1_GT4"
"GH53.hmm";342;"PROKKA_07415";335;2,3e-91;4;340;15;331;0,98245614;"GH53";"PROKKA_07415_1_GH53"
"GT4.hmm";160;"PROKKA_07522";376;1,6e-31;5;158;182;345;0,95625;"GT4";"PROKKA_07522_1_GT4"
"GT4.hmm";160;"PROKKA_07524";367;3,4e-21;4;150;182;330;0,9125;"GT4";"PROKKA_07524_1_GT4"
"GT51.hmm";177;"PROKKA_07576";775;1,9e-59;2;176;68;244;0,983050847;"GT51";"PROKKA_07576_1_GT51"
"GH163.hmm";251;"PROKKA_07776";579;6,2e-61;13;247;77;304;0,932270916;"GH163";"PROKKA_07776_1_GH163"
"GT4.hmm";160;"PROKKA_07896";397;2,2e-22;7;159;210;367;0,95;"GT4";"PROKKA_07896_1_GT4"
"GH3.hmm";216;"PROKKA_07906";973;3,2e-56;7;215;103;326;0,962962963;"GH3";"PROKKA_07906_1_GH3"
"GT19.hmm";354;"PROKKA_07975";372;2,7e-120;2;338;4;340;0,949152542;"GT19";"PROKKA_07975_1_GT19"
"GH73.hmm";128;"PROKKA_07984";241;1,1e-37;3;128;45;172;0,9765625;"GH73";"PROKKA_07984_1_GH73"
"GH109.hmm";126;"PROKKA_08063";485;2,7e-17;3;120;44;154;0,928571429;"GH109";"PROKKA_08063_1_GH109"
"GH23.hmm";135;"PROKKA_08090";305;5,8e-21;2;128;93;231;0,933333333;"GH23";"PROKKA_08090_1_GH23"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_08097";318;6,3e-29;1;167;8;170;0,976470588;"GT2";"PROKKA_08097_1_GT2"
"PL6.hmm";372;"PROKKA_08243";806;5e-132;2;370;63;446;0,989247312;"PL6";"PROKKA_08243_1_PL6"
"GT28.hmm";157;"PROKKA_08336";378;1,3e-41;1;156;210;363;0,987261146;"GT28";"PROKKA_08336_1_GT28"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_08358";349;8,1e-23;2;166;8;183;0,964705882;"GT2";"PROKKA_08358_1_GT2"
"GT2_Glyco_tranf_2_3.hmm";230;"PROKKA_08457";503;9,7e-27;4;228;50;276;0,973913043;"GT2";"PROKKA_08457_1_GT2"
"GH16.hmm";189;"PROKKA_08536";526;3,3e-49;3;189;196;438;0,984126984;"GH16";"PROKKA_08536_1_GH16"
"CBM9.hmm";182;"PROKKA_08543";872;3,8e-19;1;149;44;200;0,813186813;"CBM9";"PROKKA_08543_1_CBM9"
"GT4.hmm";160;"PROKKA_08636";376;1e-35;5;154;195;341;0,93125;"GT4";"PROKKA_08636_1_GT4"
"GH3.hmm";216;"PROKKA_08637";970;2,1e-53;5;215;103;327;0,972222222;"GH3";"PROKKA_08637_1_GH3"
"CBM9.hmm";182;"PROKKA_08660";733;6,9e-17;1;161;40;221;0,879120879;"CBM9";"PROKKA_08660_1_CBM9"
"CE14.hmm";124;"PROKKA_08772";241;9,2e-23;1;124;6;111;0,991935484;"CE14";"PROKKA_08772_1_CE14"
"GH23.hmm";135;"PROKKA_08804";454;9,5e-25;2;125;159;298;0,911111111;"GH23";"PROKKA_08804_1_GH23"
"GT51.hmm";177;"PROKKA_08808";757;1,2e-61;1;177;64;240;0,994350282;"GT51";"PROKKA_08808_1_GT51"
"GT51.hmm";177;"PROKKA_08825";783;9,2e-47;18;176;64;222;0,892655367;"GT51";"PROKKA_08825_1_GT51"
"CE4.hmm";130;"PROKKA_08874";291;4,1e-35;5;123;69;190;0,907692308;"CE4";"PROKKA_08874_1_CE4"
"GT28.hmm";157;"PROKKA_08907";389;3,2e-16;16;156;229;369;0,891719745;"GT28";"PROKKA_08907_1_GT28"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_09095";371;8,6e-19;1;146;45;190;0,852941176;"GT2";"PROKKA_09095_1_GT2"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_09149";336;5,1e-29;1;146;7;150;0,852941176;"GT2";"PROKKA_09149_1_GT2"
"CE1.hmm";227;"PROKKA_09153";218;6,2e-16;23;207;17;199;0,810572687;"CE1";"PROKKA_09153_1_CE1"
"GT4.hmm";160;"PROKKA_09202";379;4,4e-40;5;153;194;339;0,925;"GT4";"PROKKA_09202_1_GT4"
"GH3.hmm";216;"PROKKA_09203";972;1,3e-55;7;216;103;327;0,967592593;"GH3";"PROKKA_09203_1_GH3"
"GT19.hmm";354;"PROKKA_09242";370;6,1e-123;2;352;4;351;0,988700565;"GT19";"PROKKA_09242_1_GT19"
"GH73.hmm";128;"PROKKA_09299";251;2,6e-35;2;128;51;180;0,984375;"GH73";"PROKKA_09299_1_GH73"
"CE1.hmm";227;"PROKKA_09420";261;1,5e-31;1;222;36;251;0,973568282;"CE1";"PROKKA_09420_1_CE1"
"PL7_5.hmm";267;"PROKKA_09429";314;7,6e-107;1;267;48;310;0,996254682;"PL7";"PROKKA_09429_1_PL7"
"GH23.hmm";135;"PROKKA_09446";530;7e-22;2;123;109;248;0,896296296;"GH23";"PROKKA_09446_1_GH23"
"GH73.hmm";128;"PROKKA_09611";312;9,7e-34;1;125;167;305;0,96875;"GH73";"PROKKA_09611_1_GH73"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_09700";243;1,2e-20;2;166;6;171;0,964705882;"GT2";"PROKKA_09700_1_GT2"
"CBM9.hmm";182;"PROKKA_09716";716;3,4e-21;2;169;19;195;0,917582418;"CBM9";"PROKKA_09716_1_CBM9"
"GH20.hmm";337;"PROKKA_09755";834;1,1e-85;8;335;295;716;0,970326409;"GH20";"PROKKA_09755_1_GH20"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_09842";246;4,2e-29;2;144;11;154;0,835294118;"GT2";"PROKKA_09842_1_GT2"
"GH92.hmm";491;"PROKKA_09904";977;4,3e-192;2;491;234;722;0,99592668;"GH92";"PROKKA_09904_1_GH92"
"CE4.hmm";130;"PROKKA_09907";211;4,6e-25;5;124;24;139;0,915384615;"CE4";"PROKKA_09907_1_CE4"
"GT19.hmm";354;"PROKKA_09957";371;5,1e-117;2;352;4;351;0,988700565;"GT19";"PROKKA_09957_1_GT19"
"CE12.hmm";210;"PROKKA_10076";261;2,3e-16;2;205;52;254;0,966666667;"CE12";"PROKKA_10076_1_CE12"
"GT51.hmm";177;"PROKKA_10109";781;4,3e-56;1;176;67;246;0,988700565;"GT51";"PROKKA_10109_1_GT51"
"GH109.hmm";126;"PROKKA_10179";469;3,8e-41;1;126;62;190;0,992063492;"GH109";"PROKKA_10179_1_GH109"
"GT4.hmm";160;"PROKKA_10180";379;1,2e-35;7;154;196;340;0,91875;"GT4";"PROKKA_10180_1_GT4"
"GH3.hmm";216;"PROKKA_10181";973;2,8e-59;7;216;104;328;0,967592593;"GH3";"PROKKA_10181_1_GH3"
"GH65.hmm";372;"PROKKA_10367";741;3,9e-144;1;372;321;701;0,997311828;"GH65";"PROKKA_10367_1_GH65"
"GT28.hmm";157;"PROKKA_10547";379;6e-46;1;157;190;365;0,993630573;"GT28";"PROKKA_10547_1_GT28"
"CE11.hmm";271;"PROKKA_10552";306;3,2e-112;1;270;4;276;0,992619926;"CE11";"PROKKA_10552_1_CE11"
"GH105.hmm";332;"PROKKA_10582";411;6,4e-81;8;332;81;408;0,975903614;"GH105";"PROKKA_10582_1_GH105"
"GH43_10.hmm";271;"PROKKA_10587";605;4,8e-85;2;271;62;355;0,992619926;"GH43";"PROKKA_10587_1_GH43"
"GH105.hmm";332;"PROKKA_10589";402;4,3e-80;8;331;75;397;0,972891566;"GH105";"PROKKA_10589_1_GH105"
"GH43_29.hmm";278;"PROKKA_10592";487;1,6e-46;1;278;40;304;0,996402878;"GH43";"PROKKA_10592_1_GH43"
"GH105.hmm";332;"PROKKA_10594";412;3,9e-84;9;332;55;366;0,972891566;"GH105";"PROKKA_10594_1_GH105"
"PL8_3.hmm";249;"PROKKA_10595";721;9,2e-74;2;249;363;603;0,991967871;"PL8";"PROKKA_10595_1_PL8"
"GH28.hmm";325;"PROKKA_10601";483;4,2e-76;7;307;92;443;0,923076923;"GH28";"PROKKA_10601_1_GH28"
"PL25.hmm";434;"PROKKA_10615";509;4,4e-208;4;433;53;503;0,988479263;"PL25";"PROKKA_10615_1_PL25"
"PL25.hmm";434;"PROKKA_10617";552;4,1e-67;29;424;143;542;0,910138249;"PL25";"PROKKA_10617_1_PL25"
"CBM67.hmm";176;"PROKKA_10621";970;1,2e-32;1;158;176;343;0,892045455;"CBM67";"PROKKA_10621_1_CBM67"
"GH78.hmm";504;"PROKKA_10621";970;3,2e-165;3;503;398;934;0,992063492;"GH78";"PROKKA_10621_1_GH78"
"GH106.hmm";824;"PROKKA_10622";1134;5,4e-185;112;823;386;1132;0,862864078;"GH106";"PROKKA_10622_1_GH106"
"CBM67.hmm";176;"PROKKA_10623";803;3e-34;2;174;42;241;0,977272727;"CBM67";"PROKKA_10623_1_CBM67"
"GH78.hmm";504;"PROKKA_10623";803;1,4e-69;12;502;284;741;0,972222222;"GH78";"PROKKA_10623_1_GH78"
"PL25.hmm";434;"PROKKA_10627";502;5,5e-172;2;433;50;474;0,993087558;"PL25";"PROKKA_10627_1_PL25"
"CBM67.hmm";176;"PROKKA_10965";926;1,3e-30;15;167;172;335;0,863636364;"CBM67";"PROKKA_10965_1_CBM67"
"GH78.hmm";504;"PROKKA_10965";926;1,1e-173;4;503;365;877;0,990079365;"GH78";"PROKKA_10965_1_GH78"
"PL24.hmm";466;"PROKKA_10967";732;4,6e-216;1;466;30;495;0,997854077;"PL24";"PROKKA_10967_1_PL24"
"CBM67.hmm";176;"PROKKA_10981";954;1,9e-32;15;170;185;354;0,880681818;"CBM67";"PROKKA_10981_1_CBM67"
"GH78.hmm";504;"PROKKA_10981";954;2,7e-130;3;503;380;907;0,992063492;"GH78";"PROKKA_10981_1_GH78"
"GH109.hmm";126;"PROKKA_10984";448;2,6e-17;2;118;44;157;0,920634921;"GH109";"PROKKA_10984_1_GH109"
"GH109.hmm";126;"PROKKA_10985";398;7,8e-22;2;117;39;146;0,912698413;"GH109";"PROKKA_10985_1_GH109"
"PL37.hmm";635;"PROKKA_10986";639;9,3e-270;1;634;1;637;0,996850394;"PL37";"PROKKA_10986_1_PL37"
"PL24.hmm";466;"PROKKA_10987";814;1,5e-209;1;466;29;488;0,997854077;"PL24";"PROKKA_10987_1_PL24"
